Module_ID,Name,Definition,Class,Pathway
md:M00345,"Formaldehyde assimilation, ribulose monophosphate pathway","(((K08093,K13812) K08094),K13831) (K00850,K16370,K21071) K01624",Pathway modules; Energy metabolism; Methane metabolism,map00030  Pentose phosphate pathway
md:M00909,"UDP-GlcNAc biosynthesis, prokaryotes, Fru-6P => UDP-GlcNAc","K00820 (K03431,K28126) (K04042,K23144,(K28192 (K11528,K00972)))",Pathway modules; Glycan metabolism; Nucleotide sugar biosynthesis,map00520  Amino sugar and nucleotide sugar metabolism
md:M00127,"Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP",K03148+K03154 K03151,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism,map00730  Thiamine metabolism
md:M00938,"Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP","(K00525+K00526,K10807+K10808) (K00940,K18533) K01520 (K00560,K13998,K03465) K00943",Pathway modules; Nucleotide metabolism; Pyrimidine metabolism,map00240  Pyrimidine metabolism
md:M00843,"L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4",K01495 K01737 K17745,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism,map00790  Folate biosynthesis
md:M01000,"GDP-Man biosynthesis, Fru-6P => GDP-Man","(K01809,K15916,K16011) (K17497,K01840,K15778,K16881) (K00966,K00971,K16011,K16881)",Pathway modules; Glycan metabolism; Nucleotide sugar biosynthesis,map00520  Amino sugar and nucleotide sugar metabolism
md:M01004,"UDP-Galf biosynthesis, UDP-Glc => UDP-Galf","K01784 (K01854,K28214)",Pathway modules; Glycan metabolism; Nucleotide sugar biosynthesis,map00520  Amino sugar and nucleotide sugar metabolism
md:M00119,"Pantothenate biosynthesis, valine/L-aspartate => pantothenate",K00826 K00606 K00077,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism,map00770  Pantothenate and CoA biosynthesis
md:M00020,"Serine biosynthesis, glycerate-3P => serine","K00058 K00831 (K01079,K02203,K22305,K25528)",Pathway modules; Amino acid metabolism; Serine and threonine metabolism,"map00260  Glycine, serine and threonine metabolism"
md:M00053,"Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP","(K00525+K00526,K10807+K10808) (K00940,K18533)",Pathway modules; Nucleotide metabolism; Purine metabolism,map00230  Purine metabolism
md:M00051,"De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP","(K11540,(K11541 K01465),((K01954,K01955+K01956) (K00609+K00610,K00608) K01465)) (K00226,K00254,K17828) (K13421,K00762 K01591)",Pathway modules; Nucleotide metabolism; Pyrimidine metabolism,map00240  Pyrimidine metabolism
md:M00842,"Tetrahydrobiopterin biosynthesis, GTP => BH4",K01495 K01737 K00072,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism,map00790  Folate biosynthesis
md:M00741,"Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA","(K01965+K01966,K11263+(K18472,K27094+K27095,K19312+K22568),K01964+K15036+K15037) K05606 (K01847,K01848+K01849)",Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism,"map00280  Valine, leucine and isoleucine degradation"
md:M00034,Methionine salvage pathway,"K00789 K01611 K00797 ((K01243,K01244) K00899,(K00772,K05810)) K08963 (K16054,K08964 (K09880,K08965 K08966)) K08967 (K00815,K08969,K23977,K00832,K00838)",Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism,map00270  Cysteine and methionine metabolism
md:M00346,"Formaldehyde assimilation, serine pathway",K00600 K00830 K00018 K11529 K01689 K01595 K00024 K08692+K14067 K08691,Pathway modules; Energy metabolism; Methane metabolism,map00680  Methane metabolism
md:M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate","(K00844,K12407,K00845,K25026,K00886,K08074,K00918) (K01810,K06859,K13810,K15916) (K00850,K16370,K21071,K24182,K00918) (K01623,K01624,K11645,K16305,K16306) K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) (K01689,K27394) (K00873,K12406)",Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,map00010  Glycolysis / Gluconeogenesis
md:M00565,"Trehalose biosynthesis, D-glucose 1P => trehalose","K00975 K00703 (K00700,K16149) K01214 K06044 K01236",Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism,map00500  Starch and sucrose metabolism
md:M00854,"Glycogen biosynthesis, glucose-1P => glycogen/starch","(K00963 (K00693+K00750,K16150,K16153,K13679,K20812)),(K00975 (K00703,K13679,K20812)) (K00700,K16149)",Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism,map00500  Starch and sucrose metabolism
md:M00165,Reductive pentose phosphate cycle (Calvin cycle),"K00855 (K01601-K01602) K00927 (K05298,K00150,K00134) K01803 (K01623,K01624) (K03841,K02446,K11532,K01086) K00615 (K01100,K11532,K01086) (K01807,K01808) K01783",Pathway modules; Energy metabolism; Carbon fixation,map00710  Carbon fixation by Calvin cycle
md:M00364,"C10-C20 isoprenoid biosynthesis, bacteria","K01823 (K00795,K13789,K13787)",Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis,map00900  Terpenoid backbone biosynthesis
md:M00978,Ornithine-ammonia cycle,"K01915 K01955+K01956 K00611 K01940 K01755 (K27542,K27545)",Pathway modules; Amino acid metabolism; Arginine and proline metabolism,map00220  Arginine biosynthesis
md:M00986,"Sulfur reduction, sulfur => sulfide","K18367,(K17219+K17220+K17221)",Pathway modules; Energy metabolism; Sulfur metabolism,map00920  Sulfur metabolism
md:M00921,"Cyclooctatin biosynthesis, dimethylallyl-PP + isopentenyl-PP => cyclooctatin",K13787 K18686 K22997 K22998,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other bacterial compounds,map00997  Biosynthesis of various other secondary metabolites
md:M00892,"UDP-GlcNAc biosynthesis, eukaryotes, Fru-6P => UDP-GlcNAc",K00820 K00621 K01836 K00972,Pathway modules; Glycan metabolism; Nucleotide sugar biosynthesis,map00520  Amino sugar and nucleotide sugar metabolism
md:M00368,"Ethylene biosynthesis, methionine => ethylene","K00789 (K01762,K20772) K05933",Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism,map00270  Cysteine and methionine metabolism
md:M00173,Reductive citrate cycle (Arnon-Buchanan cycle),"(K00169+K00170+K00171+K00172,K03737) ((K01007,K01006) K01595,K01959+K01960,K01958) K00024 (K01676,K01679,K01677+K01678) (K00239+K00240-K00241-K00242,K18556+K18557+K18558+K18559+K18560) (K01902+K01903) (K00174+K00175-K00177-K00176) K00031 (K01681,K27802,K01682) (K15230+K15231,K15232+K15233 K15234)",Pathway modules; Energy metabolism; Carbon fixation,map00720  Other carbon fixation pathways
md:M00532,Photorespiration,"(K01601-K01602) K19269 K11517 K03781 (K14272,K00830,K00827) K00600 K00830 (K15893,K15919) K15918",Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism,map00630  Glyoxylate and dicarboxylate metabolism
md:M00632,"Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P",K01785 K00849 K00965 K01784,Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism,map00052  Galactose metabolism
